Created as New Dataset,Sample 030 By irlear Date Thursday, January 01 2009
cm-1,A
4000.00,0.0045
3999.75,0.0045
3999.50,0.0045
3999.25,0.0044
3999.00,0.0042
3998.75,0.0041
3998.50,0.0040
3998.25,0.0039
3998.00,0.0039
3997.75,0.0040
3997.50,0.0041
3997.25,0.0042
3997.00,0.0043
3996.75,0.0044
3996.50,0.0045
3996.25,0.0045
3996.00,0.0045
3995.75,0.0044
3995.50,0.0043
3995.25,0.0043
3995.00,0.0042
3994.75,0.0042
3994.50,0.0043
3994.25,0.0043
3994.00,0.0043
3993.75,0.0042
3993.50,0.0041
3993.25,0.0040
3993.00,0.0040
3992.75,0.0041
3992.50,0.0041
3992.25,0.0041
3992.00,0.0042
3991.75,0.0042
3991.50,0.0042
3991.25,0.0042
3991.00,0.0040
3990.75,0.0039
3990.50,0.0038
3990.25,0.0039
3990.00,0.0040
3989.75,0.0041
3989.50,0.0041
3989.25,0.0042
3989.00,0.0043
3988.75,0.0043
3988.50,0.0043
3988.25,0.0042
3988.00,0.0041
3987.75,0.0041
3987.50,0.0042
3987.25,0.0043
3987.00,0.0044
3986.75,0.0044
3986.50,0.0044
3986.25,0.0045
3986.00,0.0045
3985.75,0.0044
3985.50,0.0044
3985.25,0.0044
3985.00,0.0044
3984.75,0.0045
3984.50,0.0046
3984.25,0.0047
3984.00,0.0047
3983.75,0.0047
3983.50,0.0047
3983.25,0.0047
3983.00,0.0047
3982.75,0.0046
3982.50,0.0045
3982.25,0.0044
3982.00,0.0043
3981.75,0.0042
3981.50,0.0041
3981.25,0.0040
3981.00,0.0039
3980.75,0.0039
3980.50,0.0040
3980.25,0.0040
3980.00,0.0041
3979.75,0.0042
3979.50,0.0043
3979.25,0.0044
3979.00,0.0044
3978.75,0.0044
3978.50,0.0044
3978.25,0.0044
3978.00,0.0044
3977.75,0.0044
3977.50,0.0044
3977.25,0.0044
3977.00,0.0044
3976.75,0.0044
3976.50,0.0044
3976.25,0.0045
3976.00,0.0045
3975.75,0.0044
3975.50,0.0043
3975.25,0.0042
3975.00,0.0040
